llm,planner,runs,avg_steps,avg_unique,dead_ends,unreachable,reached,diversity,avg_similarity,avg_rejections,fallback_rate,avg_gen_time,consistency,top_errors
stub,dqn,30,7.0,7.0,0.0,0.0,30,0.22879825261478365,0.19401081775625548,0.0,0.0,5.915429857042101e-05,0.0,[]
ollama:llama3.1:8b,dqn,20,6.8,6.8,0.0,0.0,18,0.8052865214822931,0.6181223604442745,0.08620689655172414,0.0,42.1028690605328,0.0,"[('Invalid JSON', 6), (""player_option 1 has invalid effect 'none'. Valid"", 3), ('Dialogue 1 missing text field', 1)]"
ollama:mistral:7b,dqn,20,7.2,7.2,0.0,0.0,16,0.8092504931754235,0.621807637233888,0.07258064516129033,0.0,56.548615626750454,0.0,"[(""player_option 0 missing 'effect' (required because narrative_effects is not empty)"", 3), (""player_option 0 has invalid effect 'pay_gold'. Valid"", 2), ('Invalid JSON', 2)]"
gemini:gemini-3.1-flash-lite-preview,dqn,50,7.0,7.0,0.0,0.0,50,0.8092194998733637,0.4953474738697211,0.0,0.0,13.461250386238099,0.0,[]
ollama:qwen2.5:7b,dqn,20,5.55,5.55,0.0,0.0,19,0.8167674186043661,0.5058070488355972,0.03296703296703297,0.0,54.63647616302574,0.0,"[(""player_option 2 has invalid effect 'none'. Valid"", 1), ('Invalid JSON', 1), (""player_option 1 has invalid effect 'none'. Valid"", 1)]"
ollama:gemma2:9b,dqn,20,8.65,8.65,0.0,0.0,17,0.8432324538933675,0.6301992407032088,0.32679738562091504,0.0,83.11523832215204,0.0,"[('Invalid JSON', 37), ('Dialogue 1 missing text field', 7), ('Dialogue 0 missing text field', 6)]"
openrouter:openai/gpt-oss-120b:free,dqn,6,7.0,7.0,0.0,0.0,6,0.7845207188470429,0.5237355944183137,0.0,0.0,17.371052596304153,0.0,[]
ollama:rscr/vikhr_llama3.1_8b:Q4_K_M,dqn,20,7.0,7.0,0.0,0.0,20,1.0,0.6160903369386991,0.475,0.008333333333333333,90.43679622809093,0.0,"[('Expected 1 player_option(s), but got 2. Valid effects', 23), ('Invalid JSON', 17), ('Expected 1 player_option(s), but got 3. Valid effects', 11)]"
ollama:bambucha/saiga-llama3:8b,dqn,20,7.0,7.0,0.0,0.0,20,1.0,0.725654949247837,0.23333333333333334,0.0,35.22216971516609,0.0,"[('Invalid JSON', 13), ('Dialogue 1 missing text field', 11), ('Expected 2 player_option(s), but got 1. Valid effects', 2)]"
ollama:ilyagusev/saiga_nemo_12b:latest,dqn,20,7.0,7.0,0.0,0.0,20,1.0,0.6704451757172744,0.03333333333333333,0.0,86.51669189532598,0.0,"[('Expected 1 player_option(s), but got 3. Valid effects', 2), ('Invalid JSON', 1), ('Expected 1 player_option(s), but got 2. Valid effects', 1)]"
gigachat:GigaChat-2,dqn,50,7.0,7.0,0.0,0.0,50,1.0,0.723177811006705,0.04666666666666667,0.0,1.4038640220959981,0.0,"[('Expected 1 player_option(s), but got 2. Valid effects', 6), (""player_option 0 has invalid effect 'got_medicine'. Valid"", 5), ('Expected 1 player_option(s), but got 3. Valid effects', 2)]"
