episode,reward
0,225.2
1,324.05
2,105.5
3,318.05
4,105.5
5,313.95
6,325.05
7,229.3
8,319.05
9,215.76666666666668
10,105.5
11,209.76666666666668
12,105.5
13,105.5
14,105.5
15,325.95
16,105.5
17,209.76666666666668
18,111.5
19,110.6
20,329.15
21,335.15
22,213.86666666666667
23,213.86666666666667
24,324.05
25,329.15
26,318.05
27,330.05
28,324.05
29,330.05
30,324.05
31,335.15
32,318.05
33,323.15
34,323.15
35,318.05
36,335.15
37,335.15
38,329.15
39,341.15
40,329.15
41,331.05
42,325.95
43,319.05
44,325.05
45,330.05
46,324.05
47,335.15
48,323.15
49,323.15
50,323.15
51,318.05
52,324.05
53,318.05
54,335.15
55,329.15
56,323.15
57,318.05
58,341.15
59,323.15
60,329.15
61,324.05
62,323.15
63,323.15
64,335.15
65,323.15
66,324.05
67,324.05
68,323.15
69,323.15
70,323.15
71,329.15
72,324.05
73,330.05
74,329.15
75,335.15
76,329.15
77,323.15
78,335.15
79,220.86666666666667
80,329.15
81,318.05
82,213.86666666666667
83,324.05
84,318.05
85,335.15
86,323.15
87,335.15
88,323.15
89,341.15
90,335.15
91,318.05
92,324.05
93,318.05
94,318.05
95,318.05
96,223.96666666666667
97,324.05
98,329.15
99,323.15
